Wins Above Replacement--all
7 | Trout | LAA | 11
7 | Bryant | CHC | 11


Sacrifice Hits
1 | Ryu | LAD | 9
1 | Gray | COL | 9
3 | Maeda | LAD | 8
4 | Marquez | COL | 7
4 | Kershaw | LAD | 7
6 | Gray | CIN | 6
6 | Robles | WSN | 6
8 | Urias | LAD | 5
8 | Lauer | SDP | 5
8 | Cordell | CHW | 5
8 | Musgrove | PIT | 5
8 | DeShields | TEX | 5
8 | Hudson | STL | 5


Sacrifice Flies
1 | Ahmed | ARI | 8
2 | Reddick | HOU | 6
2 | Gordon | KCR | 6
2 | Mondesi | KCR | 6
2 | McCann | ATL | 6
2 | Bregman | HOU | 6
2 | Laureano | OAK | 6
2 | Escobar | ARI | 6
2 | Verdugo | LAD | 6
2 | Bell | PIT | 6
2 | Pujols | LAA | 6


Intentional Bases on Balls
1 | Franco | PHI | 16
2 | Yelich | MIL | 15
3 | Bellinger | LAD | 12
4 | Trout | LAA | 11
5 | Bell | PIT | 7
5 | Santana | CLE | 7
5 | Arenado | COL | 7
8 | Harper | PHI | 6
8 | Lindor | CLE | 6
10 | Betts | BOS | 5
10 | Calhoun | LAA | 5
10 | Freeman | ATL | 5
10 | Kelly | ARI | 5
10 | Martinez | BOS | 5
10 | Rendon | WSN | 5


Double Plays Grounded Into
1 | Simmons | LAA | 15
1 | Castro | MIA | 15
1 | Lucroy | LAA | 15
4 | Brantley | HOU | 14
5 | Martinez | BOS | 13
5 | Martinez | STL | 13
7 | Cano | NYM | 12
7 | Machado | SDP | 12
7 | Ozuna | STL | 12
7 | Guerrero | TOR | 12
7 | Rizzo | CHC | 12
7 | Pujols | LAA | 12
7 | Pham | TBR | 12
7 | Arcia | MIL | 12


Caught Stealing
1 | Merrifield | KCR | 7
2 | Villar | BAL | 6
2 | Robles | WSN | 6
2 | Odor | TEX | 6
2 | Moore | SEA | 6
2 | Devers | BOS | 6
7 | Gore | KCR | 5
7 | McNeil | NYM | 5
7 | Santana | TEX | 5
7 | Bellinger | LAD | 5
7 | Martin | CLE | 5
7 | Hamilton | KCR | 5
7 | Baez | CHC | 5
7 | Cain | MIL | 5


SB %
1 | Margot | SDP | 100.00
1 | Wong | STL | 100.00
3 | Lindor | CLE | 92.86
4 | Betts | BOS | 91.67
5 | Yelich | MIL | 91.30
6 | Dyson | ARI | 90.91
7 | Gordon | SEA | 88.89
8 | Mondesi | KCR | 87.88
9 | Marte | PIT | 86.67
10 | Ramirez | CLE | 86.36


Power-Speed #
1 | Yelich | MIL | 25.0
2 | Acuna | ATL | 16.6
3 | Puig | CIN | 16.1
4 | Story | COL | 15.0
5 | Tatis | SDP | 14.0
6 | Marte | PIT | 13.9
7 | Lindor | CLE | 13.5
8 | Robles | WSN | 13.0
